title,description,url,folder,tags,created,cover,highlights
"Love ASCII Art - Valentines, Flowers, Hearts, Hugs, & Romantic ASCII Pictures",,http://loveascii.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"Text, Tools","December 2, 2022 10:57 PM (UTC)",http://loveascii.com/images/fbshare.jpg,
GitHub - CherryPill/ASCII-art-creator: ASCII art generator for images,,https://github.com/CherryPill/ASCII-art-creator,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"Text, Tools","December 2, 2022 10:57 PM (UTC)",https://opengraph.githubassets.com/9c402a1598599741834404fad70b4b5e6a7f6ebca2f62c0a3da233e247afb0cb/CherryPill/ASCII-art-creator,
ASCII-Generator - Convert image or text to the ASCII Art 🎨,,https://ascii-generator.site,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"Text, Tools","December 2, 2022 10:57 PM (UTC)",,
ASCII ART,,https://ascii.co.uk/art,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"Text, Tools","December 2, 2022 10:57 PM (UTC)",,
16colo.rs - ANSI/ASCII art archive,,https://16colo.rs,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"Text, Tools","December 2, 2022 10:57 PM (UTC)",https://16colo.rs/static/16c-og.png,
Text Fancy,"Free online fancy text generators, converters and more. Interactive emoji and other character picker and ascii art and gallery.",https://textfancy.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"ASCII, Tools","January 18, 2022 4:38 AM (UTC)",https://textfancy.com/img/og.jpg,
ASCII Tree Generator,Online interactive folder structure generator. Easily create and visualise your development tree for your new projects and your documentations.,https://ascii-tree-generator.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"ASCII, Tools","November 19, 2021 8:35 PM (UTC)",,
AsciiDocLIVE,"Full-featured online AsciiDoc editor. Instant live preview, sync with Dropbox & Google Drive, and more!",https://asciidoclive.com/edit/scratch/2,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"ASCII, Tools","December 22, 2021 2:44 PM (UTC)",,
Convert Word to AsciiDoc for free on Alldocs,The free text converter for all your documents.,https://alldocs.app/convert-word-docx-to-asciidoc,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"ASCII, Tools","December 22, 2021 2:51 PM (UTC)",https://alldocs.app/assets/images/opengraph.png,
Text to ASCII Code Converter - Chars to ASCII Numbers - Online - Browserling Web Developer Tools,"Useful, free online tool that converts plain text to ASCII codes. No ads, nonsense, or garbage, just an ASCII converter. Press a button – get the result.",https://www.browserling.com/tools/text-to-ascii,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"ASCII, Tools","December 22, 2021 3:16 PM (UTC)",https://www.browserling.com/images/browserling-cross-browser-testing-fb-og-image.png,
Text to ASCII Art Generator (TAAG),,https://patorjk.com/software/taag#p=display&f=Graffiti&t=Type%20Something%20,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"ASCII, Tools","December 22, 2021 3:16 PM (UTC)",,
Text To ASCII Converter - Replit,Converts normal text characters into their own ASCII-Table memory value,https://replit.com/@Exunys/Text-To-ASCII-Converter,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"ASCII, Tools","February 24, 2022 1:17 PM (UTC)",https://replit.com/public/images/replit-logo-800x600.png,
Convert Text To Ascii Format Recipes,,https://www.tfrecipes.com/convert-text-to-ascii-format,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"ASCII, Tools","February 24, 2022 1:17 PM (UTC)",,
Convert Text to ASCII Online | Ttoools,Simply convert text to ASCII codes by entering any text into the input section and click Convert To ASCII to get the result.,https://toolsaday.com/text-tools/text-to-ascii,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / ASCII,"ASCII, Tools","February 24, 2022 1:17 PM (UTC)",https://toolsaday.com/text-tools/assets/images/og-toolsaday.png,
yEd Graph Editor,"yEd is a free desktop application to quickly create, import, edit, and automatically arrange diagrams. It runs on Windows, macOS, and Unix/Linux.",https://www.yworks.com/products/yed,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://www.yworks.com/resources/social-media/tc-yed.png,
neo4j.com,"Connect data as it's stored with Neo4j. Perform powerful, complex queries at scale and speed with our graph data platform.",https://neo4j.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://dist.neo4j.com/wp-content/uploads/20210423062553/neo4j-social-share-21.png,
Vizualize.me,"Securely order, send, receive, and engage with official credentials such as transcripts, diplomas or certificates. K12, Higher Education, State Agencies and others.",https://vizualize.me,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
Visual.ly,"Create engaging infographics, videos, and ebooks for your marketing campaigns. We make premium content creation fast, simple, and affordable.",https://visual.ly,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
Visual Capitalist (@VisualCap),"The latest Tweets from Visual Capitalist (@VisualCap). Data-driven visual content focused on global trends, investing, technology, and the economy. Order: https://t.co/56TYYSFOiO. Vancouver, BC",https://twitter.com/visualcap,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://pbs.twimg.com/profile_images/1243299028822970369/_VWrF963_normal.jpg,
Visallo: Investigative Data Analysis Tool | Data-Driven Software,"Learn how Visallo can empower your investigations. Visallo is a leading investigative link analysis tool used by analysts, researchers and investigators in the fields of law enforcement, cyber, fraud, insider threat preventing, journalism and more.",https://www.visallo.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://www.visallo.com/img/thumbnails/visallo-screenshot.jpg,
VIS Desktop,"Over the course of an investigation, it is sometimes helpful to sketch out a network of involved parties so that you can understand who is linked to what.",https://docs.alephdata.org/guide/vis-desktop,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://app.gitbook.com/share/space/thumbnail/-LnIWKL31dbPXLEZNv4I/page/-LnRaFCVtn5A4KruHPhd.png?color=%23982022&logo=https%3A%2F%2F2578324550-files.gitbook.io%2F~%2Ffiles%2Fv0%2Fb%2Fgitbook-legacy-files%2Fo%2Fspaces%252F-LnIWKL31dbPXLEZNv4I%252Favatar.png%3Fgeneration%3D1566917956412699%26alt%3Dmedia&theme=none,
TouchGraph.com,,https://www.touchgraph.com/seo,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
The Linking Open Data cloud diagram,The Linked Open Data Cloud Diagram,https://lod-cloud.net,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
Spatial.ly,,https://spatial.ly,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
