title,description,url,folder,tags,created,cover,highlights
Kody Tools,"Hub of online tools such as code formatters, code minifiers, converters, calculators, hash generators, text generators, encoders, decoders, etc.",https://www.kodytools.com/,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR,tools,"January 21, 2023 2:29 PM (UTC)",https://www.kodytools.com//kody.png,
alldocs,The free text converter for all your documents.,https://alldocs.app,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Doc Tools,,"March 23, 2023 10:07 PM (UTC)",https://alldocs.app/assets/images/opengraph.png,
Docz,It has never been so easy to document your things,https://www.docz.site/docs/getting-started,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Doc Tools,,"March 26, 2023 9:35 PM (UTC)",,
Konfuzio,,https://app.konfuzio.com/admin/server/document,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Doc Tools,,"March 26, 2023 5:42 AM (UTC)",,
markdown-autodocs,✨ A GitHub Action that automatically generates &amp; updates markdown content (like your README.md) from external or remote files. - GitHub - dineshsonachalam/markdown-autodocs: ✨ A GitHub Acti...,https://github.com/dineshsonachalam/markdown-autodocs,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Doc Tools,,"March 26, 2023 9:35 PM (UTC)",https://repository-images.githubusercontent.com/377247785/de6e3300-d733-11eb-873b-829614ee2254,
Paperback,"Paperback is how small teams organize their documents and notes. Stop getting lost in your own docs, and turn organizing things into a pleasure—not something you just give up on.",https://app.paperbackhq.com/accounts/171/areas/279,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Doc Tools,,"March 26, 2023 4:28 AM (UTC)",https://d2fd1eeuj7gtbq.cloudfront.net/assets/social/gangsta-7652a13dc7736790cfca7c53f2498f3aa2047f2f13ef472e7691fae0b4c9b6a1.png,
Parseur,,https://app.parseur.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Doc Tools,,"March 29, 2023 12:55 PM (UTC)",,
Reactive Doc,"Create Interactive Documents, Code Snippets, Automations with Plain Text",https://reactivedoc.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Doc Tools,,"March 23, 2023 10:07 PM (UTC)",,
Table-of-continents | Saga,"Saga turns static documents and notes into insights, so you can always see the big picture.",https://saga.so/s/jgJeHSUa3-n4HUpQShb6/collections,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Doc Tools,,"March 26, 2023 4:25 AM (UTC)",https://saga.so/thumbnail.png,
The Docs,Project & API documentation tool maker and share in workspaces or make it public.,https://the-docs.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Doc Tools,,"March 26, 2023 5:43 AM (UTC)",https://the-docs.com/img/logos/the-docs-seo.png,
